,Grand Prix,Circuit,Date,Winner,Team,Laps,Race Time
59,Sakhir,Bahrain International Circuit,6 December 2020,Sergio Perez,Racing Point Mercedes,87,1:31:15.114
60,Abu Dhabi,Yas Marina Circuit,13 December 2020,Max Verstappen,Red Bull Honda,55,1:36:28.645
61,Australia,Melbourne Grand Prix Circuit,17 March 2019,Valtteri Bottas,Mercedes,58,1:25:27.325
62,Bahrain,Bahrain International Circuit,31 March 2019,Lewis Hamilton,Mercedes,57,1:34:21.295
63,China,Shanghai International Circuit,14 April 2019,Lewis Hamilton,Mercedes,56,1:32:06.350
64,Azerbaijan,Baku City Circuit,28 April 2019,Valtteri Bottas,Mercedes,51,1:31:52.942
65,Spain,Circuit de Barcelona-Catalunya,12 May 2019,Lewis Hamilton,Mercedes,66,1:35:50.443
66,Monaco,Circuit de Monaco,26 May 2019,Lewis Hamilton,Mercedes,78,1:43:28.437
67,Canada,Circuit Gilles-Villeneuve,9 June 2019,Lewis Hamilton,Mercedes,70,1:29:07.084
68,France,Circuit Paul Ricard,23 June 2019,Lewis Hamilton,Mercedes,53,1:24:31.198
69,Austria,Red Bull Ring,30 June 2019,Max Verstappen,Red Bull Honda,71,1:22:01.822
70,Great Britain,Silverstone Circuit,14 July 2019,Lewis Hamilton,Mercedes,52,1:21:08.452
71,Germany,Hockenheimring,28 July 2019,Max Verstappen,Red Bull Honda,64,1:44:31.275
72,Hungary,Hungaroring,4 August 2019,Lewis Hamilton,Mercedes,70,1:35:03.796
73,Belgium,Circuit de Spa-Francorchamps,1 September 2019,Charles Leclerc,Ferrari,44,1:23:45.710
74,Italy,Autodromo Nazionale Monza,8 September 2019,Charles Leclerc,Ferrari,53,1:15:26.665
75,Singapore,Marina Bay Street Circuit,22 September 2019,Sebastian Vettel,Ferrari,61,1:58:33.667
76,Russia,Sochi Autodrom,29 September 2019,Lewis Hamilton,Mercedes,53,1:33:38.992
77,Japan,Suzuka International Racing Course,13 October 2019,Valtteri Bottas,Mercedes,52,1:21:46.755
78,Mexico,Autódromo Hermanos Rodríguez,27 October 2019,Lewis Hamilton,Mercedes,71,1:36:48.904
79,United States,Circuit of The Americas,3 November 2019,Valtteri Bottas,Mercedes,56,1:33:55.653
80,Brazil,Autódromo José Carlos Pace,17 November 2019,Max Verstappen,Red Bull Honda,71,1:33:14.678
81,Abu Dhabi,Yas Marina Circuit,1 December 2019,Lewis Hamilton,Mercedes,55,1:34:05.715
82,Australia,Melbourne Grand Prix Circuit,25 March 2018,Sebastian Vettel,Ferrari,58,1:29:33.283
83,Bahrain,Bahrain International Circuit,8 April 2018,Sebastian Vettel,Ferrari,57,1:32:01.940
84,China,Shanghai International Circuit,15 April 2018,Daniel Ricciardo,Red Bull TAG Heuer,56,1:35:36.380
85,Azerbaijan,Baku City Circuit,29 April 2018,Lewis Hamilton,Mercedes,51,1:43:44.291
86,Spain,Circuit de Barcelona-Catalunya,13 May 2018,Lewis Hamilton,Mercedes,66,1:35:29.972
87,Monaco,Circuit de Monaco,27 May 2018,Daniel Ricciardo,Red Bull TAG Heuer,78,1:42:54.807
88,Canada,Circuit Gilles-Villeneuve,10 June 2018,Sebastian Vettel,Ferrari,68,1:28:31.377
89,France,Circuit Paul Ricard,24 June 2018,Lewis Hamilton,Mercedes,53,1:30:11.385
90,Austria,Red Bull Ring,1 July 2018,Max Verstappen,Red Bull TAG Heuer,71,1:21:56.024
91,Great Britain,Silverstone Circuit,8 July 2018,Sebastian Vettel,Ferrari,52,1:27:29.784
92,Germany,Hockenheimring,22 July 2018,Lewis Hamilton,Mercedes,67,1:32:29.845
93,Hungary,Hungaroring,29 July 2018,Lewis Hamilton,Mercedes,70,1:37:16.427
94,Belgium,Circuit de Spa-Francorchamps,26 August 2018,Sebastian Vettel,Ferrari,44,1:23:34.476
95,Italy,Autodromo Nazionale Monza,2 September 2018,Lewis Hamilton,Mercedes,53,1:16:54.484
96,Singapore,Marina Bay Street Circuit,16 September 2018,Lewis Hamilton,Mercedes,61,1:51:11.611
97,Russia,Sochi Autodrom,30 September 2018,Lewis Hamilton,Mercedes,53,1:27:25.181
98,Japan,Suzuka International Racing Course,7 October 2018,Lewis Hamilton,Mercedes,53,1:27:17.062
99,United States,Circuit of The Americas,21 October 2018,Kimi Räikkönen,Ferrari,56,1:34:18.643
